GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.0001, DECAY 1e-05: BEST VALID F1: 62.339% AT EPOCH 35, TRAINED FOR 46 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.0005, DECAY 0: BEST VALID F1: 66.157% AT EPOCH 37, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.0005, DECAY 1e-06: BEST VALID F1: 66.009% AT EPOCH 33, TRAINED FOR 35 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.0005, DECAY 1e-05: BEST VALID F1: 65.826% AT EPOCH 23, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.001, DECAY 0: BEST VALID F1: 67.958% AT EPOCH 25, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.001, DECAY 1e-06: BEST VALID F1: 67.701% AT EPOCH 35, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.001, DECAY 1e-05: BEST VALID F1: 67.127% AT EPOCH 29, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.005, DECAY 0: BEST VALID F1: 64.958% AT EPOCH 11, TRAINED FOR 32 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.005, DECAY 1e-06: BEST VALID F1: 65.259% AT EPOCH 38, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.005, DECAY 1e-05: BEST VALID F1: 64.223% AT EPOCH 21, TRAINED FOR 31 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.0001, DECAY 0: BEST VALID F1: 63.492% AT EPOCH 42, TRAINED FOR 44 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.0001, DECAY 1e-06: BEST VALID F1: 63.993% AT EPOCH 52, TRAINED FOR 53 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.0001, DECAY 1e-05: BEST VALID F1: 63.401% AT EPOCH 38, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.0005, DECAY 0: BEST VALID F1: 67.696% AT EPOCH 38, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.0005, DECAY 1e-06: BEST VALID F1: 68.022% AT EPOCH 31, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.0005, DECAY 1e-05: BEST VALID F1: 65.738% AT EPOCH 29, TRAINED FOR 35 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.001, DECAY 0: BEST VALID F1: 68.404% AT EPOCH 22, TRAINED FOR 43 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.001, DECAY 1e-06: BEST VALID F1: 67.855% AT EPOCH 27, TRAINED FOR 38 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.001, DECAY 1e-05: BEST VALID F1: 67.816% AT EPOCH 35, TRAINED FOR 46 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.005, DECAY 0: BEST VALID F1: 67.260% AT EPOCH 25, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.005, DECAY 1e-06: BEST VALID F1: 65.674% AT EPOCH 25, TRAINED FOR 34 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 3, LR 0.005, DECAY 1e-05: BEST VALID F1: 66.117% AT EPOCH 31, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 0: BEST VALID F1: 60.016% AT EPOCH 39, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 1e-06: BEST VALID F1: 60.514% AT EPOCH 41, TRAINED FOR 42 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 1e-05: BEST VALID F1: 60.404% AT EPOCH 38, TRAINED FOR 44 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 0: BEST VALID F1: 65.885% AT EPOCH 22, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 50, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 1e-06: BEST VALID F1: 64.708% AT EPOCH 34, TRAINED FOR 36 EPOCHS
